Gene.ID,Gene.Name,Time,Treatment,Replicate,Normalized.Counts
WP_011131866.1,sat,36,C,A,9356
WP_011131866.1,sat,36,C,B,6792
WP_011131866.1,sat,36,C,C,10196
WP_011131866.1,sat,36,HV,A,96
WP_011131866.1,sat,36,HV,B,116
WP_011131866.1,sat,36,HV,C,32
WP_011131867.1,psbO,0,C,A,149471
WP_011131867.1,psbO,0,C,B,125757
WP_011131867.1,psbO,0,C,C,151226
WP_011131867.1,psbO,0,HV,A,74019
WP_011131867.1,psbO,0,HV,B,106400
WP_011131867.1,psbO,0,HV,C,188940
WP_011131867.1,psbO,12,C,A,48116
WP_011131867.1,psbO,12,C,B,42805
WP_011131867.1,psbO,12,C,C,66601
WP_011131867.1,psbO,12,HV,A,12043
WP_011131867.1,psbO,12,HV,B,20417
WP_011131867.1,psbO,12,HV,C,9191
WP_011131867.1,psbO,24,HV,A,752
WP_011131867.1,psbO,24,HV,B,501
WP_011131867.1,psbO,24,HV,C,579
WP_011131867.1,psbO,24,C,A,203274
WP_011131867.1,psbO,24,C,B,241474
WP_011131867.1,psbO,36,C,A,83114
WP_011131867.1,psbO,36,C,B,49229
WP_011131867.1,psbO,36,C,C,99014
WP_011131867.1,psbO,36,HV,A,529
WP_011131867.1,psbO,36,HV,B,847
WP_011131867.1,psbO,36,HV,C,313
WP_011131868.1,coaBC,0,C,A,2049
WP_011131868.1,coaBC,0,C,B,2403
WP_011131868.1,coaBC,0,C,C,2463
WP_011131868.1,coaBC,0,HV,A,1337
WP_011131868.1,coaBC,0,HV,B,1866
WP_011131868.1,coaBC,0,HV,C,3661
WP_011131868.1,coaBC,12,C,A,4217
WP_011131868.1,coaBC,12,C,B,3577
WP_011131868.1,coaBC,12,C,C,4293
WP_011131868.1,coaBC,12,HV,A,832
WP_011131868.1,coaBC,12,HV,B,1754
WP_011131868.1,coaBC,12,HV,C,639
WP_011131868.1,coaBC,24,HV,A,30
WP_011131868.1,coaBC,24,HV,B,26
WP_011131868.1,coaBC,24,HV,C,34
WP_011131868.1,coaBC,24,C,A,4103
WP_011131868.1,coaBC,24,C,B,4038
WP_011131868.1,coaBC,36,C,A,4661
WP_011131868.1,coaBC,36,C,B,2517
WP_011131868.1,coaBC,36,C,C,5990
WP_011131868.1,coaBC,36,HV,A,37
WP_011131868.1,coaBC,36,HV,B,73
WP_011131868.1,coaBC,36,HV,C,23
WP_011131872.1,pyrB,0,C,A,2120
WP_011131872.1,pyrB,0,C,B,2658
WP_011131872.1,pyrB,0,C,C,2902
WP_011131872.1,pyrB,0,HV,A,1704
WP_011131872.1,pyrB,0,HV,B,1856
WP_011131872.1,pyrB,0,HV,C,4207
WP_011131872.1,pyrB,12,C,A,9633
WP_011131872.1,pyrB,12,C,B,6722
WP_011131872.1,pyrB,12,C,C,6732
WP_011131872.1,pyrB,12,HV,A,1717
WP_011131872.1,pyrB,12,HV,B,4454
WP_011131872.1,pyrB,12,HV,C,2041
WP_011131872.1,pyrB,24,HV,A,176
WP_011131872.1,pyrB,24,HV,B,162
WP_011131872.1,pyrB,24,HV,C,100
WP_011131872.1,pyrB,24,C,A,5297
WP_011131872.1,pyrB,24,C,B,3920
WP_011131872.1,pyrB,36,C,A,7003
WP_011131872.1,pyrB,36,C,B,3866
WP_011131872.1,pyrB,36,C,C,7906
WP_011131872.1,pyrB,36,HV,A,96
WP_011131872.1,pyrB,36,HV,B,153
WP_011131872.1,pyrB,36,HV,C,67
WP_011131874.1,gatC,0,C,A,1861
WP_011131874.1,gatC,0,C,B,1998
WP_011131874.1,gatC,0,C,C,1703
WP_011131874.1,gatC,0,HV,A,1219
WP_011131874.1,gatC,0,HV,B,1292
WP_011131874.1,gatC,0,HV,C,2366
WP_011131874.1,gatC,12,C,A,7475
WP_011131874.1,gatC,12,C,B,4976
WP_011131874.1,gatC,12,C,C,4582
WP_011131874.1,gatC,12,HV,A,1362
WP_011131874.1,gatC,12,HV,B,2562
WP_011131874.1,gatC,12,HV,C,1202
WP_011131874.1,gatC,24,HV,A,66
WP_011131874.1,gatC,24,HV,B,43
WP_011131874.1,gatC,24,HV,C,46
WP_011131874.1,gatC,24,C,A,3256
WP_011131874.1,gatC,24,C,B,3670
WP_011131874.1,gatC,36,C,A,7151
WP_011131874.1,gatC,36,C,B,6033
WP_011131874.1,gatC,36,C,C,8109
WP_011131874.1,gatC,36,HV,A,36
WP_011131874.1,gatC,36,HV,B,68
WP_011131874.1,gatC,36,HV,C,42
WP_011131876.1,ileS,0,C,A,10420
WP_011131876.1,ileS,0,C,B,10796
WP_011131876.1,ileS,0,C,C,12332
WP_011131876.1,ileS,0,HV,A,8547
WP_011131876.1,ileS,0,HV,B,6900
WP_011131876.1,ileS,0,HV,C,18479
WP_011131876.1,ileS,12,C,A,11810
WP_011131876.1,ileS,12,C,B,10093
WP_011131876.1,ileS,12,C,C,13531
WP_011131876.1,ileS,12,HV,A,2859
WP_011131876.1,ileS,12,HV,B,6316
WP_011131876.1,ileS,12,HV,C,2680
WP_011131876.1,ileS,24,HV,A,216
WP_011131876.1,ileS,24,HV,B,198
WP_011131876.1,ileS,24,HV,C,132
WP_011131876.1,ileS,24,C,A,17336
WP_011131876.1,ileS,24,C,B,18663
WP_011131876.1,ileS,36,C,A,13628
WP_011131876.1,ileS,36,C,B,8142
WP_011131876.1,ileS,36,C,C,15204
WP_011131876.1,ileS,36,HV,A,138
WP_011131876.1,ileS,36,HV,B,244
WP_011131876.1,ileS,36,HV,C,140
WP_011131878.1,trmB,0,C,A,247
WP_011131878.1,trmB,0,C,B,312
WP_011131878.1,trmB,0,C,C,195
WP_011131878.1,trmB,0,HV,A,109
WP_011131878.1,trmB,0,HV,B,182
WP_011131878.1,trmB,0,HV,C,342
WP_011131878.1,trmB,12,C,A,432
WP_011131878.1,trmB,12,C,B,251
WP_011131878.1,trmB,12,C,C,204
WP_011131878.1,trmB,12,HV,A,46
WP_011131878.1,trmB,12,HV,B,173
WP_011131878.1,trmB,12,HV,C,60
WP_011131878.1,trmB,24,HV,A,20
WP_011131878.1,trmB,24,HV,B,6
WP_011131878.1,trmB,24,HV,C,1
WP_011131878.1,trmB,24,C,A,359
WP_011131878.1,trmB,24,C,B,195
WP_011131878.1,trmB,36,C,A,219
WP_011131878.1,trmB,36,C,B,108
WP_011131878.1,trmB,36,C,C,281
WP_011131878.1,trmB,36,HV,A,10
WP_011131878.1,trmB,36,HV,B,15
WP_011131878.1,trmB,36,HV,C,6
WP_011131879.1,glmM,0,C,A,299
WP_011131879.1,glmM,0,C,B,509
WP_011131879.1,glmM,0,C,C,350
WP_011131879.1,glmM,0,HV,A,240
WP_011131879.1,glmM,0,HV,B,336
WP_011131879.1,glmM,0,HV,C,509
WP_011131879.1,glmM,12,C,A,2518
WP_011131879.1,glmM,12,C,B,1016
WP_011131879.1,glmM,12,C,C,1124
WP_011131879.1,glmM,12,HV,A,442
WP_011131879.1,glmM,12,HV,B,665
WP_011131879.1,glmM,12,HV,C,429
WP_011131879.1,glmM,24,HV,A,23
WP_011131879.1,glmM,24,HV,B,14
WP_011131879.1,glmM,24,HV,C,12
WP_011131879.1,glmM,24,C,A,598
WP_011131879.1,glmM,24,C,B,368
WP_011131879.1,glmM,36,C,A,875
WP_011131879.1,glmM,36,C,B,522
WP_011131879.1,glmM,36,C,C,1199
WP_011131879.1,glmM,36,HV,A,24
WP_011131879.1,glmM,36,HV,B,28
WP_011131879.1,glmM,36,HV,C,24
WP_011131881.1,thyX,0,C,A,3837
WP_011131881.1,thyX,0,C,B,4956
WP_011131881.1,thyX,0,C,C,5149
WP_011131881.1,thyX,0,HV,A,3052
WP_011131881.1,thyX,0,HV,B,4743
WP_011131881.1,thyX,0,HV,C,8958
WP_011131881.1,thyX,12,C,A,23846
WP_011131881.1,thyX,12,C,B,26014
WP_011131881.1,thyX,12,C,C,39326
WP_011131881.1,thyX,12,HV,A,5618
WP_011131881.1,thyX,12,HV,B,14993
WP_011131881.1,thyX,12,HV,C,5292
WP_011131881.1,thyX,24,HV,A,116
WP_011131881.1,thyX,24,HV,B,97
WP_011131881.1,thyX,24,HV,C,140
WP_011131881.1,thyX,24,C,A,8417
WP_011131881.1,thyX,24,C,B,11683
WP_011131881.1,thyX,36,C,A,31362
WP_011131881.1,thyX,36,C,B,22179
WP_011131881.1,thyX,36,C,C,30636
WP_011131881.1,thyX,36,HV,A,226
WP_011131881.1,thyX,36,HV,B,464
WP_011131881.1,thyX,36,HV,C,160
WP_011131882.1,dcd,0,C,A,5368
WP_011131882.1,dcd,0,C,B,7789
WP_011131882.1,dcd,0,C,C,7300
WP_011131882.1,dcd,0,HV,A,4365
WP_011131882.1,dcd,0,HV,B,6489
WP_011131882.1,dcd,0,HV,C,11409
WP_011131882.1,dcd,12,C,A,32457
WP_011131882.1,dcd,12,C,B,37544
WP_011131882.1,dcd,12,C,C,52176
WP_011131882.1,dcd,12,HV,A,7653
WP_011131882.1,dcd,12,HV,B,22082
WP_011131882.1,dcd,12,HV,C,8737
WP_011131882.1,dcd,24,HV,A,162
WP_011131882.1,dcd,24,HV,B,168
WP_011131882.1,dcd,24,HV,C,191
WP_011131882.1,dcd,24,C,A,11736
WP_011131882.1,dcd,24,C,B,16941
WP_011131882.1,dcd,36,C,A,46228
WP_011131882.1,dcd,36,C,B,32497
WP_011131882.1,dcd,36,C,C,47082
WP_011131882.1,dcd,36,HV,A,281
WP_011131882.1,dcd,36,HV,B,678
WP_011131882.1,dcd,36,HV,C,208
WP_011131883.1,PMM0245,0,C,A,1998
WP_011131883.1,PMM0245,0,C,B,3066
WP_011131883.1,PMM0245,0,C,C,2870
WP_011131883.1,PMM0245,0,HV,A,1533
WP_011131883.1,PMM0245,0,HV,B,2389
WP_011131883.1,PMM0245,0,HV,C,4135
WP_011131883.1,PMM0245,12,C,A,16937
WP_011131883.1,PMM0245,12,C,B,15722
WP_011131883.1,PMM0245,12,C,C,21962
WP_011131883.1,PMM0245,12,HV,A,4154
WP_011131883.1,PMM0245,12,HV,B,9215
WP_011131883.1,PMM0245,12,HV,C,4620
WP_011131883.1,PMM0245,24,HV,A,103
WP_011131883.1,PMM0245,24,HV,B,78
WP_011131883.1,PMM0245,24,HV,C,72
WP_011131883.1,PMM0245,24,C,A,4713
WP_011131883.1,PMM0245,24,C,B,6972
WP_011131883.1,PMM0245,36,C,A,19260
WP_011131883.1,PMM0245,36,C,B,13188
WP_011131883.1,PMM0245,36,C,C,20877
WP_011131883.1,PMM0245,36,HV,A,143
WP_011131883.1,PMM0245,36,HV,B,267
WP_011131883.1,PMM0245,36,HV,C,99
WP_011131884.1,ntcA,0,C,A,709
WP_011131884.1,ntcA,0,C,B,1286
WP_011131884.1,ntcA,0,C,C,803
WP_011131884.1,ntcA,0,HV,A,609
WP_011131884.1,ntcA,0,HV,B,371
WP_011131884.1,ntcA,0,HV,C,1080
WP_011131884.1,ntcA,12,C,A,2258
WP_011131884.1,ntcA,12,C,B,963
WP_011131884.1,ntcA,12,C,C,949
WP_011131884.1,ntcA,12,HV,A,315
WP_011131884.1,ntcA,12,HV,B,812
WP_011131884.1,ntcA,12,HV,C,448
WP_011131884.1,ntcA,24,HV,A,118
WP_011131884.1,ntcA,24,HV,B,112
WP_011131884.1,ntcA,24,HV,C,40
WP_011131884.1,ntcA,24,C,A,3132
WP_011131884.1,ntcA,24,C,B,894
WP_011131884.1,ntcA,36,C,A,948
WP_011131884.1,ntcA,36,C,B,383
WP_011131884.1,ntcA,36,C,C,1841
WP_011131884.1,ntcA,36,HV,A,35
WP_011131884.1,ntcA,36,HV,B,32
WP_011131884.1,ntcA,36,HV,C,32
WP_011131888.1,pth,0,C,A,904
WP_011131888.1,pth,0,C,B,1359
WP_011131888.1,pth,0,C,C,1686
WP_011131888.1,pth,0,HV,A,689
WP_011131888.1,pth,0,HV,B,791
WP_011131888.1,pth,0,HV,C,1856
WP_011131888.1,pth,12,C,A,2283
WP_011131888.1,pth,12,C,B,1315
WP_011131888.1,pth,12,C,C,1132
WP_011131888.1,pth,12,HV,A,423
WP_011131888.1,pth,12,HV,B,928
WP_011131888.1,pth,12,HV,C,506
WP_011131888.1,pth,24,HV,A,42
WP_011131888.1,pth,24,HV,B,34
WP_011131888.1,pth,24,HV,C,20
WP_011131888.1,pth,24,C,A,1914
WP_011131888.1,pth,24,C,B,1030
WP_011131888.1,pth,36,C,A,1188
WP_011131888.1,pth,36,C,B,608
WP_011131888.1,pth,36,C,C,1795
WP_011131888.1,pth,36,HV,A,11
WP_011131888.1,pth,36,HV,B,23
WP_011131888.1,pth,36,HV,C,26
WP_011131889.1,psbH,0,C,A,7436
WP_011131889.1,psbH,0,C,B,8591
WP_011131889.1,psbH,0,C,C,8057
WP_011131889.1,psbH,0,HV,A,5306
WP_011131889.1,psbH,0,HV,B,5975
WP_011131889.1,psbH,0,HV,C,8920
WP_011131889.1,psbH,12,C,A,4826
WP_011131889.1,psbH,12,C,B,4015
WP_011131889.1,psbH,12,C,C,4915
WP_011131889.1,psbH,12,HV,A,1158
WP_011131889.1,psbH,12,HV,B,1921
WP_011131889.1,psbH,12,HV,C,1009
WP_011131889.1,psbH,24,HV,A,85
WP_011131889.1,psbH,24,HV,B,50
WP_011131889.1,psbH,24,HV,C,33
WP_011131889.1,psbH,24,C,A,12254
WP_011131889.1,psbH,24,C,B,14229
WP_011131889.1,psbH,36,C,A,8256
WP_011131889.1,psbH,36,C,B,6323
WP_011131889.1,psbH,36,C,C,9043
WP_011131889.1,psbH,36,HV,A,65
WP_011131889.1,psbH,36,HV,B,57
WP_011131889.1,psbH,36,HV,C,27
WP_011131890.1,psbN,0,C,A,21043
WP_011131890.1,psbN,0,C,B,28013
WP_011131890.1,psbN,0,C,C,10416
WP_011131890.1,psbN,0,HV,A,13207
WP_011131890.1,psbN,0,HV,B,16940
WP_011131890.1,psbN,0,HV,C,12697
WP_011131890.1,psbN,12,C,A,6153
WP_011131890.1,psbN,12,C,B,5362
WP_011131890.1,psbN,12,C,C,6833
WP_011131890.1,psbN,12,HV,A,1087
WP_011131890.1,psbN,12,HV,B,3108
WP_011131890.1,psbN,12,HV,C,1335
WP_011131890.1,psbN,24,HV,A,116
WP_011131890.1,psbN,24,HV,B,99
WP_011131890.1,psbN,24,HV,C,34
WP_011131890.1,psbN,24,C,A,5882
WP_011131890.1,psbN,24,C,B,8074
WP_011131890.1,psbN,36,C,A,6406
WP_011131890.1,psbN,36,C,B,4019
WP_011131890.1,psbN,36,C,C,6659
WP_011131890.1,psbN,36,HV,A,34
WP_011131890.1,psbN,36,HV,B,69
WP_011131890.1,psbN,36,HV,C,45
WP_011131892.1,leuD,0,C,A,917
WP_011131892.1,leuD,0,C,B,986
WP_011131892.1,leuD,0,C,C,1034
WP_011131892.1,leuD,0,HV,A,538
WP_011131892.1,leuD,0,HV,B,925
WP_011131892.1,leuD,0,HV,C,1738
WP_011131892.1,leuD,12,C,A,2504
WP_011131892.1,leuD,12,C,B,2649
WP_011131892.1,leuD,12,C,C,3210
WP_011131892.1,leuD,12,HV,A,412
WP_011131892.1,leuD,12,HV,B,1467
WP_011131892.1,leuD,12,HV,C,538
WP_011131892.1,leuD,24,HV,A,29
WP_011131892.1,leuD,24,HV,B,14
WP_011131892.1,leuD,24,HV,C,27
WP_011131892.1,leuD,24,C,A,1427
WP_011131892.1,leuD,24,C,B,1903
WP_011131892.1,leuD,36,C,A,2666
WP_011131892.1,leuD,36,C,B,1395
WP_011131892.1,leuD,36,C,C,3083
WP_011131892.1,leuD,36,HV,A,19
WP_011131892.1,leuD,36,HV,B,42
WP_011131892.1,leuD,36,HV,C,14
WP_011131893.1,leuC,0,C,A,2849
WP_011131893.1,leuC,0,C,B,2863
WP_011131893.1,leuC,0,C,C,2570
WP_011131893.1,leuC,0,HV,A,1636
WP_011131893.1,leuC,0,HV,B,2306
WP_011131893.1,leuC,0,HV,C,4051
WP_011131893.1,leuC,12,C,A,7505
WP_011131893.1,leuC,12,C,B,5912
WP_011131893.1,leuC,12,C,C,7866
WP_011131893.1,leuC,12,HV,A,1779
WP_011131893.1,leuC,12,HV,B,4449
WP_011131893.1,leuC,12,HV,C,2337
WP_011131893.1,leuC,24,HV,A,129
WP_011131893.1,leuC,24,HV,B,86
WP_011131893.1,leuC,24,HV,C,119
WP_011131893.1,leuC,24,C,A,4292
WP_011131893.1,leuC,24,C,B,5617
WP_011131893.1,leuC,36,C,A,8867
WP_011131893.1,leuC,36,C,B,6029
WP_011131893.1,leuC,36,C,C,9147
WP_011131893.1,leuC,36,HV,A,64
WP_011131893.1,leuC,36,HV,B,139
WP_011131893.1,leuC,36,HV,C,75
WP_011131894.1,cinA,0,C,A,1810
WP_011131894.1,cinA,0,C,B,3127
WP_011131894.1,cinA,0,C,C,2003
WP_011131894.1,cinA,0,HV,A,1755
WP_011131894.1,cinA,0,HV,B,2615
WP_011131894.1,cinA,0,HV,C,3298
WP_011131894.1,cinA,12,C,A,10797
WP_011131894.1,cinA,12,C,B,11301
WP_011131894.1,cinA,12,C,C,13656
WP_011131894.1,cinA,12,HV,A,2710
WP_011131894.1,cinA,12,HV,B,7842
WP_011131894.1,cinA,12,HV,C,4570
WP_011131894.1,cinA,24,HV,A,115
WP_011131894.1,cinA,24,HV,B,144
WP_011131894.1,cinA,24,HV,C,138
WP_011131894.1,cinA,24,C,A,2801
WP_011131894.1,cinA,24,C,B,2437
WP_011131894.1,cinA,36,C,A,13684
WP_011131894.1,cinA,36,C,B,9952
WP_011131894.1,cinA,36,C,C,14224
WP_011131894.1,cinA,36,HV,A,109
WP_011131894.1,cinA,36,HV,B,233
WP_011131894.1,cinA,36,HV,C,106
WP_011131895.1,glyA,0,C,A,6412
WP_011131895.1,glyA,0,C,B,11306
WP_011131895.1,glyA,0,C,C,5371
WP_011131895.1,glyA,0,HV,A,6213
WP_011131895.1,glyA,0,HV,B,7815
WP_011131895.1,glyA,0,HV,C,6926
WP_011131895.1,glyA,12,C,A,30696
WP_011131895.1,glyA,12,C,B,29671
WP_011131895.1,glyA,12,C,C,34864
WP_011131895.1,glyA,12,HV,A,7230
WP_011131895.1,glyA,12,HV,B,14594
WP_011131895.1,glyA,12,HV,C,8209
WP_011131895.1,glyA,24,HV,A,160
WP_011131895.1,glyA,24,HV,B,197
WP_011131895.1,glyA,24,HV,C,175
WP_011131895.1,glyA,24,C,A,7462
WP_011131895.1,glyA,24,C,B,6432
WP_011131895.1,glyA,36,C,A,44633
WP_011131895.1,glyA,36,C,B,38234
WP_011131895.1,glyA,36,C,C,46047
WP_011131895.1,glyA,36,HV,A,273
WP_011131895.1,glyA,36,HV,B,456
WP_011131895.1,glyA,36,HV,C,202
WP_011131898.1,murJ,0,C,A,1895
WP_011131898.1,murJ,0,C,B,2680
WP_011131898.1,murJ,0,C,C,2480
WP_011131898.1,murJ,0,HV,A,1143
WP_011131898.1,murJ,0,HV,B,1546
WP_011131898.1,murJ,0,HV,C,3655
WP_011131898.1,murJ,12,C,A,5636
WP_011131898.1,murJ,12,C,B,4300
WP_011131898.1,murJ,12,C,C,3712
WP_011131898.1,murJ,12,HV,A,795
WP_011131898.1,murJ,12,HV,B,2719
WP_011131898.1,murJ,12,HV,C,1251
WP_011131898.1,murJ,24,HV,A,124
WP_011131898.1,murJ,24,HV,B,133
WP_011131898.1,murJ,24,HV,C,54
WP_011131898.1,murJ,24,C,A,4703
WP_011131898.1,murJ,24,C,B,2638
WP_011131898.1,murJ,36,C,A,4024
WP_011131898.1,murJ,36,C,B,1539
WP_011131898.1,murJ,36,C,C,5782
WP_011131898.1,murJ,36,HV,A,28
WP_011131898.1,murJ,36,HV,B,69
WP_011131898.1,murJ,36,HV,C,26
WP_011131899.1,sfsA,0,C,A,548
WP_011131899.1,sfsA,0,C,B,903
WP_011131899.1,sfsA,0,C,C,532
WP_011131899.1,sfsA,0,HV,A,463
WP_011131899.1,sfsA,0,HV,B,502
WP_011131899.1,sfsA,0,HV,C,731
WP_011131899.1,sfsA,12,C,A,2185
WP_011131899.1,sfsA,12,C,B,1629
WP_011131899.1,sfsA,12,C,C,1254
WP_011131899.1,sfsA,12,HV,A,336
WP_011131899.1,sfsA,12,HV,B,1037
WP_011131899.1,sfsA,12,HV,C,431
WP_011131899.1,sfsA,24,HV,A,41
WP_011131899.1,sfsA,24,HV,B,37
WP_011131899.1,sfsA,24,HV,C,12
WP_011131899.1,sfsA,24,C,A,927
WP_011131899.1,sfsA,24,C,B,525
WP_011131899.1,sfsA,36,C,A,1424
WP_011131899.1,sfsA,36,C,B,828
WP_011131899.1,sfsA,36,C,C,1873
WP_011131899.1,sfsA,36,HV,A,20
WP_011131899.1,sfsA,36,HV,B,33
WP_011131899.1,sfsA,36,HV,C,14
WP_011131900.1,amtB,0,C,A,743519
WP_011131900.1,amtB,0,C,B,803046
WP_011131900.1,amtB,0,C,C,830561
WP_011131900.1,amtB,0,HV,A,790553
WP_011131900.1,amtB,0,HV,B,476721
WP_011131900.1,amtB,0,HV,C,970268
WP_011131900.1,amtB,12,C,A,3152937
WP_011131900.1,amtB,12,C,B,3471267
WP_011131900.1,amtB,12,C,C,2703931
WP_011131900.1,amtB,12,HV,A,868812
WP_011131900.1,amtB,12,HV,B,1764241
WP_011131900.1,amtB,12,HV,C,503758
WP_011131900.1,amtB,24,HV,A,20343
WP_011131900.1,amtB,24,HV,B,14148
WP_011131900.1,amtB,24,HV,C,8103
WP_011131900.1,amtB,24,C,A,1724073
WP_011131900.1,amtB,24,C,B,1288403
WP_011131900.1,amtB,36,C,A,3690188
WP_011131900.1,amtB,36,C,B,3098997
WP_011131900.1,amtB,36,C,C,3396144
WP_011131900.1,amtB,36,HV,A,20383
WP_011131900.1,amtB,36,HV,B,26959
WP_011131900.1,amtB,36,HV,C,14344
WP_011131901.1,ispH,0,C,A,2857
WP_011131901.1,ispH,0,C,B,3941
WP_011131901.1,ispH,0,C,C,3254
WP_011131901.1,ispH,0,HV,A,2262
WP_011131901.1,ispH,0,HV,B,2290
WP_011131901.1,ispH,0,HV,C,4635
WP_011131901.1,ispH,12,C,A,18774
WP_011131901.1,ispH,12,C,B,15593
WP_011131901.1,ispH,12,C,C,14866
WP_011131901.1,ispH,12,HV,A,3767
WP_011131901.1,ispH,12,HV,B,9898
WP_011131901.1,ispH,12,HV,C,3342
WP_011131901.1,ispH,24,HV,A,207
WP_011131901.1,ispH,24,HV,B,176
WP_011131901.1,ispH,24,HV,C,73
WP_011131901.1,ispH,24,C,A,8806
WP_011131901.1,ispH,24,C,B,5523
WP_011131901.1,ispH,36,C,A,14306
WP_011131901.1,ispH,36,C,B,9785
WP_011131901.1,ispH,36,C,C,19374
WP_011131901.1,ispH,36,HV,A,106
WP_011131901.1,ispH,36,HV,B,157
WP_011131901.1,ispH,36,HV,C,88
WP_011131903.1,purH,0,C,A,4189
WP_011131903.1,purH,0,C,B,5704
WP_011131903.1,purH,0,C,C,4588
WP_011131903.1,purH,0,HV,A,3775
WP_011131903.1,purH,0,HV,B,3413
WP_011131903.1,purH,0,HV,C,5812
WP_011131903.1,purH,12,C,A,12808
WP_011131903.1,purH,12,C,B,10849
WP_011131903.1,purH,12,C,C,9699
WP_011131903.1,purH,12,HV,A,3520
WP_011131903.1,purH,12,HV,B,8035
WP_011131903.1,purH,12,HV,C,3420
WP_011131903.1,purH,24,HV,A,388
WP_011131903.1,purH,24,HV,B,370
WP_011131903.1,purH,24,HV,C,186
WP_011131903.1,purH,24,C,A,6444
WP_011131903.1,purH,24,C,B,4637
WP_011131903.1,purH,36,C,A,10030
WP_011131903.1,purH,36,C,B,9382
WP_011131903.1,purH,36,C,C,11750
WP_011131903.1,purH,36,HV,A,148
WP_011131903.1,purH,36,HV,B,180
WP_011131903.1,purH,36,HV,C,130
WP_011131904.1,PMM0267,0,C,A,1378
WP_011131904.1,PMM0267,0,C,B,1398
WP_011131904.1,PMM0267,0,C,C,1604
WP_011131904.1,PMM0267,0,HV,A,1218
WP_011131904.1,PMM0267,0,HV,B,958
WP_011131904.1,PMM0267,0,HV,C,2460
WP_011131904.1,PMM0267,12,C,A,1408
WP_011131904.1,PMM0267,12,C,B,983
WP_011131904.1,PMM0267,12,C,C,974
WP_011131904.1,PMM0267,12,HV,A,363
WP_011131904.1,PMM0267,12,HV,B,1445
WP_011131904.1,PMM0267,12,HV,C,613
WP_011131904.1,PMM0267,24,HV,A,108
WP_011131904.1,PMM0267,24,HV,B,96
WP_011131904.1,PMM0267,24,HV,C,29
WP_011131904.1,PMM0267,24,C,A,2790
WP_011131904.1,PMM0267,24,C,B,2312
WP_011131904.1,PMM0267,36,C,A,1320
WP_011131904.1,PMM0267,36,C,B,671
WP_011131904.1,PMM0267,36,C,C,1398
WP_011131904.1,PMM0267,36,HV,A,15
WP_011131904.1,PMM0267,36,HV,B,11
WP_011131904.1,PMM0267,36,HV,C,20
WP_011131907.1,CobS,0,C,A,1182
WP_011131907.1,CobS,0,C,B,1415
WP_011131907.1,CobS,0,C,C,1169
WP_011131907.1,CobS,0,HV,A,822
WP_011131907.1,CobS,0,HV,B,822
WP_011131907.1,CobS,0,HV,C,1693
WP_011131907.1,CobS,12,C,A,1732
WP_011131907.1,CobS,12,C,B,1494
WP_011131907.1,CobS,12,C,C,1361
WP_011131907.1,CobS,12,HV,A,318
WP_011131907.1,CobS,12,HV,B,1023
WP_011131907.1,CobS,12,HV,C,479
WP_011131907.1,CobS,24,HV,A,34
WP_011131907.1,CobS,24,HV,B,27
WP_011131907.1,CobS,24,HV,C,15
WP_011131907.1,CobS,24,C,A,1478
WP_011131907.1,CobS,24,C,B,1044
WP_011131907.1,CobS,36,C,A,1392
WP_011131907.1,CobS,36,C,B,577
WP_011131907.1,CobS,36,C,C,1915
WP_011131907.1,CobS,36,HV,A,18
WP_011131907.1,CobS,36,HV,B,30
WP_011131907.1,CobS,36,HV,C,17
WP_011131908.1,tgt,0,C,A,582
WP_011131908.1,tgt,0,C,B,819
WP_011131908.1,tgt,0,C,C,829
WP_011131908.1,tgt,0,HV,A,589
WP_011131908.1,tgt,0,HV,B,498
WP_011131908.1,tgt,0,HV,C,1125
WP_011131908.1,tgt,12,C,A,2346
WP_011131908.1,tgt,12,C,B,1575
WP_011131908.1,tgt,12,C,C,1516
WP_011131908.1,tgt,12,HV,A,387
WP_011131908.1,tgt,12,HV,B,988
WP_011131908.1,tgt,12,HV,C,540
WP_011131908.1,tgt,24,HV,A,41
WP_011131908.1,tgt,24,HV,B,47
WP_011131908.1,tgt,24,HV,C,25
WP_011131908.1,tgt,24,C,A,1406
WP_011131908.1,tgt,24,C,B,1079
WP_011131908.1,tgt,36,C,A,1690
WP_011131908.1,tgt,36,C,B,977
WP_011131908.1,tgt,36,C,C,2219
WP_011131908.1,tgt,36,HV,A,23
WP_011131908.1,tgt,36,HV,B,38
WP_011131908.1,tgt,36,HV,C,17
WP_011131909.1,psbK,0,C,A,10287
WP_011131909.1,psbK,0,C,B,10072
WP_011131909.1,psbK,0,C,C,11659
WP_011131909.1,psbK,0,HV,A,6270
WP_011131909.1,psbK,0,HV,B,9339
WP_011131909.1,psbK,0,HV,C,15308
WP_011131909.1,psbK,12,C,A,4951
WP_011131909.1,psbK,12,C,B,4380
WP_011131909.1,psbK,12,C,C,5816
WP_011131909.1,psbK,12,HV,A,1419
WP_011131909.1,psbK,12,HV,B,2688
WP_011131909.1,psbK,12,HV,C,1295
WP_011131909.1,psbK,24,HV,A,131
WP_011131909.1,psbK,24,HV,B,90
WP_011131909.1,psbK,24,HV,C,62
WP_011131909.1,psbK,24,C,A,15658
WP_011131909.1,psbK,24,C,B,18837
WP_011131909.1,psbK,36,C,A,8649
WP_011131909.1,psbK,36,C,B,6026
WP_011131909.1,psbK,36,C,C,8550
